feature,shift,strategy,ratio,n,mean,sem
mel_10,day-plus-device,3,0.8,25,53.27433628318584,3.3972005569270074
mel_10,day-plus-device,3,1.0,25,56.530973451327434,3.463905677952103
mel_10,day-plus-device,4,0.2,25,41.38053097345132,2.5553011147998506
mel_10,day-plus-device,4,0.4,25,44.283185840707965,2.4286513871896234
mel_10,day-plus-device,4,0.6,25,46.15929203539824,2.520534612863668
mel_10,day-plus-device,4,0.8,25,47.68141592920354,3.0068186795249976
mel_10,day-plus-device,4,1.0,25,47.75221238938053,2.8135841047777292
mel_10,day-plus-device,5,1.0,25,58.08849557522124,3.1308262053684803
wav2vecbase9,cross-day,1,1.0,25,44.41540864133264,1.4847832729817845
wav2vecbase9,cross-day,2,0.2,25,47.854391314047746,2.051909462894121
wav2vecbase9,cross-day,2,0.4,25,49.868372127612105,2.295766748838198
wav2vecbase9,cross-day,2,0.6,25,54.50791998215215,2.3859551656797597
wav2vecbase9,cross-day,2,0.8,25,56.200044619617756,2.425406092064371
wav2vecbase9,cross-day,2,1.0,25,58.82100096675838,2.3962375883663727
wav2vecbase9,cross-day,3,0.2,25,38.28333457276716,2.0553258667040906
wav2vecbase9,cross-day,3,0.4,25,42.95307503532387,2.298969716088597
wav2vecbase9,cross-day,3,0.6,25,47.95612404253737,2.268490903975686
wav2vecbase9,cross-day,3,0.8,25,52.18427902134305,2.190429479427692
wav2vecbase9,cross-day,3,1.0,25,55.05525395999108,2.225263366789434
wav2vecbase9,cross-day,4,0.2,25,46.52145459953894,1.784209909362012
wav2vecbase9,cross-day,4,0.4,25,47.97218710493046,2.0395923707240255
wav2vecbase9,cross-day,4,0.6,25,50.03435710567413,1.5228254310472045
wav2vecbase9,cross-day,4,0.8,25,51.540269205027144,1.7524730445679377
wav2vecbase9,cross-day,4,1.0,25,51.995091842046556,1.738504691659649
wav2vecbase9,cross-day,5,1.0,25,60.34357105674128,2.482404410954283
wav2vecbase9,day-plus-device,1,1.0,25,42.4778761061947,2.280371456057544
wav2vecbase9,day-plus-device,2,0.2,25,47.39823008849558,2.806895878698737
wav2vecbase9,day-plus-device,2,0.4,25,52.0353982300885,2.6890619882190734
wav2vecbase9,day-plus-device,2,0.6,25,55.469026548672566,3.256637168141593
wav2vecbase9,day-plus-device,2,0.8,25,58.76106194690266,3.401040504526661
wav2vecbase9,day-plus-device,2,1.0,25,59.39823008849557,3.5634608995884998
wav2vecbase9,day-plus-device,3,0.2,25,40.60176991150443,2.745417443570788
wav2vecbase9,day-plus-device,3,0.4,25,47.92920353982302,3.420435073662742
wav2vecbase9,day-plus-device,3,0.6,25,51.716814159292035,3.3914632725317917
wav2vecbase9,day-plus-device,3,0.8,25,54.654867256637175,3.555745898612853
wav2vecbase9,day-plus-device,3,1.0,25,58.86725663716814,3.5772797018127016
wav2vecbase9,day-plus-device,4,0.2,25,44.849557522123895,2.868822180852991
wav2vecbase9,day-plus-device,4,0.4,25,48.176991150442475,2.774624431644755
wav2vecbase9,day-plus-device,4,0.6,25,48.991150442477874,3.0135656255535737
wav2vecbase9,day-plus-device,4,0.8,25,47.221238938053105,2.686575640678756
wav2vecbase9,day-plus-device,4,1.0,25,48.389380530973455,2.7489333490742633
wav2vecbase9,day-plus-device,5,1.0,25,58.54867256637168,3.419290076362125
