feature,subject,day2_accuracy,day3_accuracy,delta,day2_source,day2_column,day3_source,day3_column
Mel-10,sub-20,27.25344644750795,32.743362831858406,-5.489916384350455,module_A_intra_domain/mel_10/neurascan.csv,r1.0,module_B_sda/mel_10/neurascan_to_brk.csv,S1_r1.0
Mel-10,sub-21,38.3881230116649,50.44247787610619,-12.054354864441287,module_A_intra_domain/mel_10/neurascan.csv,r1.0,module_B_sda/mel_10/neurascan_to_brk.csv,S1_r1.0
Mel-10,sub-22,57.05196182396607,38.05309734513274,18.998864478833326,module_A_intra_domain/mel_10/neurascan.csv,r1.0,module_B_sda/mel_10/neurascan_to_brk.csv,S1_r1.0
Mel-10,sub-23,41.03923647932132,30.973451327433622,10.065785151887695,module_A_intra_domain/mel_10/neurascan.csv,r1.0,module_B_sda/mel_10/neurascan_to_brk.csv,S1_r1.0
Mel-10,sub-24,36.58536585365854,46.90265486725664,-10.317289013598106,module_A_intra_domain/mel_10/neurascan.csv,r1.0,module_B_sda/mel_10/neurascan_to_brk.csv,S1_r1.0
Mel-10,sub-25,36.47932131495228,23.00884955752212,13.470471757430161,module_A_intra_domain/mel_10/neurascan.csv,r1.0,module_B_sda/mel_10/neurascan_to_brk.csv,S1_r1.0
wav2vec 2.0,sub-01,35.949098621421,23.00884955752212,12.940249063898882,module_A_intra_domain/wav2vecbase9/neurascan.csv,r1.0,module_B_sda/wav2vecbase9/neurascan_to_brk.csv,S1_r1.0
wav2vec 2.0,sub-02,56.30965005302227,61.06194690265486,-4.752296849632593,module_A_intra_domain/wav2vecbase9/neurascan.csv,r1.0,module_B_sda/wav2vecbase9/neurascan_to_brk.csv,S1_r1.0
wav2vec 2.0,sub-03,30.965005302226935,35.39823008849557,-4.433224786268639,module_A_intra_domain/wav2vecbase9/neurascan.csv,r1.0,module_B_sda/wav2vecbase9/neurascan_to_brk.csv,S1_r1.0
wav2vec 2.0,sub-04,40.29692470837752,38.93805309734513,1.3588716110323844,module_A_intra_domain/wav2vecbase9/neurascan.csv,r1.0,module_B_sda/wav2vecbase9/neurascan_to_brk.csv,S1_r1.0
wav2vec 2.0,sub-05,46.02332979851538,46.017699115044245,0.0056306834711321585,module_A_intra_domain/wav2vecbase9/neurascan.csv,r1.0,module_B_sda/wav2vecbase9/neurascan_to_brk.csv,S1_r1.0
wav2vec 2.0,sub-06,60.76352067868505,46.90265486725664,13.860865811428404,module_A_intra_domain/wav2vecbase9/neurascan.csv,r1.0,module_B_sda/wav2vecbase9/neurascan_to_brk.csv,S1_r1.0
wav2vec 2.0,sub-07,38.49416755037115,39.823008849557525,-1.3288412991863723,module_A_intra_domain/wav2vecbase9/neurascan.csv,r1.0,module_B_sda/wav2vecbase9/neurascan_to_brk.csv,S1_r1.0
wav2vec 2.0,sub-08,40.721102863202546,58.4070796460177,-17.685976782815153,module_A_intra_domain/wav2vecbase9/neurascan.csv,r1.0,module_B_sda/wav2vecbase9/neurascan_to_brk.csv,S1_r1.0
wav2vec 2.0,sub-09,57.79427359490986,46.017699115044245,11.776574479865616,module_A_intra_domain/wav2vecbase9/neurascan.csv,r1.0,module_B_sda/wav2vecbase9/neurascan_to_brk.csv,S1_r1.0
wav2vec 2.0,sub-10,46.23541887592789,64.60176991150442,-18.36635103557653,module_A_intra_domain/wav2vecbase9/neurascan.csv,r1.0,module_B_sda/wav2vecbase9/neurascan_to_brk.csv,S1_r1.0
wav2vec 2.0,sub-11,57.79427359490986,19.469026548672566,38.325247046237294,module_A_intra_domain/wav2vecbase9/neurascan.csv,r1.0,module_B_sda/wav2vecbase9/neurascan_to_brk.csv,S1_r1.0
wav2vec 2.0,sub-12,53.128313891834566,47.78761061946903,5.340703272365538,module_A_intra_domain/wav2vecbase9/neurascan.csv,r1.0,module_B_sda/wav2vecbase9/neurascan_to_brk.csv,S1_r1.0
wav2vec 2.0,sub-13,54.2948038176034,40.70796460176992,13.586839215833479,module_A_intra_domain/wav2vecbase9/neurascan.csv,r1.0,module_B_sda/wav2vecbase9/neurascan_to_brk.csv,S1_r1.0
wav2vec 2.0,sub-14,41.251325556733825,44.24778761061947,-2.9964620538856437,module_A_intra_domain/wav2vecbase9/neurascan.csv,r1.0,module_B_sda/wav2vecbase9/neurascan_to_brk.csv,S1_r1.0
wav2vec 2.0,sub-15,40.61505832449629,36.283185840707965,4.331872483788324,module_A_intra_domain/wav2vecbase9/neurascan.csv,r1.0,module_B_sda/wav2vecbase9/neurascan_to_brk.csv,S1_r1.0
wav2vec 2.0,sub-16,54.93107104984093,47.78761061946903,7.143460430371903,module_A_intra_domain/wav2vecbase9/neurascan.csv,r1.0,module_B_sda/wav2vecbase9/neurascan_to_brk.csv,S1_r1.0
wav2vec 2.0,sub-17,35.31283138918346,38.05309734513274,-2.7402659559492832,module_A_intra_domain/wav2vecbase9/neurascan.csv,r1.0,module_B_sda/wav2vecbase9/neurascan_to_brk.csv,S1_r1.0
wav2vec 2.0,sub-18,39.978791092258746,42.47787610619469,-2.4990850139359466,module_A_intra_domain/wav2vecbase9/neurascan.csv,r1.0,module_B_sda/wav2vecbase9/neurascan_to_brk.csv,S1_r1.0
wav2vec 2.0,sub-19,57.15800636267232,48.67256637168141,8.485439990990905,module_A_intra_domain/wav2vecbase9/neurascan.csv,r1.0,module_B_sda/wav2vecbase9/neurascan_to_brk.csv,S1_r1.0
wav2vec 2.0,sub-20,45.49310710498409,50.44247787610619,-4.949370771122098,module_A_intra_domain/wav2vecbase9/neurascan.csv,r1.0,module_B_sda/wav2vecbase9/neurascan_to_brk.csv,S1_r1.0
wav2vec 2.0,sub-21,37.53976670201485,42.47787610619469,-4.938109404179841,module_A_intra_domain/wav2vecbase9/neurascan.csv,r1.0,module_B_sda/wav2vecbase9/neurascan_to_brk.csv,S1_r1.0
wav2vec 2.0,sub-22,63.73276776246023,44.24778761061947,19.48498015184076,module_A_intra_domain/wav2vecbase9/neurascan.csv,r1.0,module_B_sda/wav2vecbase9/neurascan_to_brk.csv,S1_r1.0
wav2vec 2.0,sub-23,43.47826086956522,26.548672566371685,16.929588303193533,module_A_intra_domain/wav2vecbase9/neurascan.csv,r1.0,module_B_sda/wav2vecbase9/neurascan_to_brk.csv,S1_r1.0
wav2vec 2.0,sub-24,41.993637327677625,51.32743362831859,-9.333796300640962,module_A_intra_domain/wav2vecbase9/neurascan.csv,r1.0,module_B_sda/wav2vecbase9/neurascan_to_brk.csv,S1_r1.0
wav2vec 2.0,sub-25,36.90349946977731,21.238938053097343,15.664561416679966,module_A_intra_domain/wav2vecbase9/neurascan.csv,r1.0,module_B_sda/wav2vecbase9/neurascan_to_brk.csv,S1_r1.0
